PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
127,44,29,799,2138,2060,3161,2891,1815,2021,2239,1410,968,319,21,248,19,46,27,19,19,19,21,20,1771,1593,1395,1462,605,1325,22,101,-1828,2135,8873,-489,3545,-1530,99.11967030673992,166.28954232454615,28754
43,20,20,621,2008,1965,3084,2842,1842,2016,2250,1450,1029,353,31,301,19,19,19,19,19,19,21,20,1807,1668,1398,1605,704,1397,22,137,-1982,2342,8803,-762,5371,-1802,97.5025896829811,162.47806590656285,28768
20,20,20,370,1876,1853,2998,2795,1883,1977,2266,1519,1090,422,22,336,18,19,19,19,19,19,21,20,1812,1713,1386,1777,809,1456,22,180,-1982,2342,8803,-762,5371,-1802,95.97212955240478,159.04694884626076,28776
20,20,20,93,1727,1725,2845,2734,1890,1946,2267,1622,1182,477,22,393,19,19,19,19,18,19,21,20,1814,1755,1358,1926,868,1516,23,215,-751,2740,9952,-1017,7185,-1900,94.49577100517266,155.4179714804977,28612
20,20,20,21,1598,1632,2406,2675,1876,1919,2315,1571,1247,528,26,436,18,19,19,19,19,18,25,20,1832,1787,1328,1986,932,1571,24,244,-2446,2022,9508,-1303,10453,-2198,92.83209683717298,152.4026303645593,28171
20,20,20,21,1455,1495,1869,2613,1868,1881,2338,1589,1334,577,26,491,19,19,19,19,18,19,25,20,1842,1834,1300,2009,992,1657,26,267,-3024,2777,10420,-1470,14773,-3014,91.10623781676414,148.98855678290377,27702
20,20,20,21,1294,1319,1367,2510,1851,1817,2345,1561,1411,623,27,544,19,19,19,19,19,19,27,20,1844,1898,1299,2036,1051,1775,27,282,-3803,4268,11240,-1216,18180,-4330,88.95881723998083,145.58933377576227,27123
20,20,20,21,1125,1138,730,2356,1853,1704,2267,1510,1474,644,30,630,19,19,19,19,19,19,31,20,1814,1967,1337,2097,1092,1887,31,318,-5341,5085,12306,-3200,23011,-6578,86.13325714285715,141.3871238095238,26250
20,20,20,21,1133,1056,613,1972,1794,1574,2122,1406,1450,621,29,819,19,20,19,19,19,19,29,21,1873,1998,1478,2085,1149,1907,30,416,-5341,5085,12306,-3200,23011,-6578,83.9190757052501,139.43112413177602,25771
20,20,20,22,1114,1004,322,1532,1614,1514,1944,1244,1367,609,30,924,19,20,19,20,19,19,30,21,1921,1899,1595,1962,1271,1873,31,564,-8347,6737,17415,-5558,27390,-9567,81.42149046088761,136.72954887523898,24583
20,21,20,26,1023,969,32,1054,1323,1376,1683,903,1238,299,31,915,20,22,20,23,19,21,31,22,1982,1746,1692,1530,1453,1886,31,788,-13890,7627,24529,-5296,28196,-11427,77.75808992303884,134.3216841442009,22219
21,22,21,30,890,630,31,682,1045,1270,1467,729,1062,61,31,414,22,25,22,26,20,23,32,26,1667,1182,1386,831,1289,1911,31,666,-12978,7011,22519,-1707,26461,-11507,76.90927981781952,136.04190150868203,17565
26,25,25,39,860,190,31,103,172,1074,1052,63,893,27,31,32,27,27,26,31,24,27,31,31,933,373,416,32,435,1015,31,55,-3414,7426,15000,699,21194,-11425,78.85662621061665,151.04027215888195,8157
32,30,31,40,777,32,32,31,31,265,32,30,98,31,32,31,31,31,31,31,29,31,32,32,31,31,31,31,29,31,31,31,11461,10374,15322,3752,14027,-11616,97.02952659834064,209.74524158125917,2049
